"count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"3","27","1385","family","null","null","186817","Bacillaceae"
"4","36","1385","family","null","null","186822","Paenibacillaceae"
"226","2033","91061","order","null","null","186826","Lactobacillales"
"1123","10100","186803","no_rank","null","null","186928","unclassified Lachnospiraceae"
"350","3148","186803","genus","null","null","189330","Dorea"
"15","135","31979","no_rank","null","null","189971","unclassified Clostridiaceae"
"9","81","128827","genus","null","null","191303","Turicibacter"
"19","171","213115","family","null","null","194924","Desulfovibrionaceae"
"5","45","186804","no_rank","null","null","200630","unclassified Peptostreptococcaceae"
"40507","364314","976","class","null","null","200643","Bacteroidia"
"2","18","117747","order","null","null","200666","Sphingobacteriales"
"2","18","2","phylum","null","null","200795","Chloroflexi"
"16704","150233","2","phylum","73C7D7","null","201174","Actinobacteria"
"9","81","32066","class","null","null","203490","Fusobacteriia"
"7","63","203490","order","null","null","203491","Fusobacteriales"
"7","63","203491","family","null","null","203492","Fusobacteriaceae"
"2099","18878","74201","class","null","null","203494","Verrucomicrobiae"
"2099","18878","48461","family","null","null","203557","Verrucomicrobiaceae"
"11","99","57723","class","null","null","204432","Acidobacteriia"
"4","36","28211","order","null","null","204455","Rhodobacterales"
"127","1142","186803","genus","null","null","207244","Anaerostipes"
"19","171","28221","order","null","null","213115","Desulfovibrionales"
"3512","31586","29547","order","null","null","213849","Campylobacterales"
"11","99","292632","species","null","null","214851","Subdoligranulum variabile"
"52","468","239759","species","null","null","214856","Alistipes finegoldii"
"226","2033","186802","family","null","null","216572","Oscillospiraceae"
"4","36","541000","genus","null","null","216851","Faecalibacterium"
"3","27","135619","family","null","null","224372","Alcanivoracaceae"
"46","414","541000","genus","null","null","236752","Fastidiosipila"
"373","3355","171550","genus","null","null","239759","Alistipes"
"2095","18842","203557","genus","null","null","239934","Akkermansia"
"2075","18662","239934","species","null","null","239935","Akkermansia muciniphila"
"2","18","838","species","null","null","242750","Prevotella bergensis"
"58","522","541000","genus","null","null","244127","Anaerotruncus"
"2","18","39779","order","null","null","245019","butyrate-producing bacterium SR1/1"
"3","27","189971","species","null","null","247476","bacterium str. Rauti"
"3","27","29465","species","null","null","248315","Veillonella rodentium"
"82","737","186803","genus","null","null","248744","Marvinbryantia"
"994","8940","84999","suborder","null","null","255727","Coriobacterineae"
"72","648","1301","species","null","null","257758","Streptococcus pseudopneumoniae"
"5","45","817","no_rank","null","null","272559","Bacteroides fragilis NCTC 9343"
"791","7114","2049","no_rank","null","null","279916","Mobiluncus/Falcivibrio group"
"17","153","171551","genus","null","null","283168","Odoribacter"
