count	count_norm	parent	tax_rank	tax_color	avg	taxon	tax_name	sample_date
274521	1002271	0	root	null	null	1	root	6/12/2015
273899	1000000	131567	superkingdom	null	null	2	Bacteria	6/12/2015
2	7	28221	order	null	null	29	Myxococcales	6/12/2015
5	18	72294	genus	null	null	194	Campylobacter	6/12/2015
8	29	506	genus	null	null	222	Achromobacter	6/12/2015
10	37	72274	family	null	null	468	Moraxellaceae	6/12/2015
18	66	206351	family	null	null	481	Neisseriaceae	6/12/2015
8	29	80840	family	null	null	506	Alcaligenaceae	6/12/2015
26	95	91347	family	null	null	543	Enterobacteriaceae	6/12/2015
46624	170223	171549	family	null	null	815	Bacteroidaceae	6/12/2015
43439	158595	815	genus	null	null	816	Bacteroides	6/12/2015
22867	83487	816	species	null	null	817	Bacteroides fragilis	6/12/2015
8615	31453	816	species	null	null	820	Bacteroides uniformis	6/12/2015
7134	26046	375288	species	null	null	823	Parabacteroides distasonis	6/12/2015
62	226	171551	genus	null	null	836	Porphyromonas	6/12/2015
28	102	171552	genus	null	null	838	Prevotella	6/12/2015
7464	27251	186803	genus	null	null	841	Roseburia	6/12/2015
4635	16922	216851	species	null	null	853	Faecalibacterium prausnitzii	6/12/2015
3	11	194924	genus	null	null	872	Desulfovibrio	6/12/2015
16	58	31977	genus	null	null	906	Megasphaera	6/12/2015
66886	244200	68336	phylum	e65848	null	976	Bacteroidetes	6/12/2015
5	18	135617	genus	null	null	1021	Beggiatoa	6/12/2015
50	183	2	phylum	null	null	1117	Cyanobacteria	6/12/2015
10287	37558	2	phylum	2ab69d	null	1224	Proteobacteria	6/12/2015
118	431	1224	class	null	null	1236	Gammaproteobacteria	6/12/2015
144301	526840	2	phylum	5E6591	null	1239	Firmicutes	6/12/2015
6	22	81850	genus	null	null	1243	Leuconostoc	6/12/2015
6	22	1243	species	null	null	1245	Leuconostoc mesenteroides	6/12/2015
554	2023	150022	species	null	null	1260	Finegoldia magna	6/12/2015
27767	101377	541000	genus	null	null	1263	Ruminococcus	6/12/2015
32	117	186826	family	null	null	1300	Streptococcaceae	6/12/2015
32	117	1300	genus	null	null	1301	Streptococcus	6/12/2015
2	7	1301	species	null	null	1303	Streptococcus oralis	6/12/2015
17	62	539738	genus	null	null	1378	Gemella	6/12/2015
2	7	1378	species	null	null	1379	Gemella haemolysans	6/12/2015
28	102	91061	order	null	null	1385	Bacillales	6/12/2015
2	7	186817	genus	null	null	1386	Bacillus	6/12/2015
9472	34582	31979	genus	null	null	1485	Clostridium	6/12/2015
6	22	1485	species	null	null	1506	Clostridium sp.	6/12/2015
1097	4005	1485	species	null	null	1531	Clostridium clostridioforme	6/12/2015
52	190	1485	species	null	null	1535	Clostridium leptum	6/12/2015
145	529	33958	genus	null	null	1578	Lactobacillus	6/12/2015
3474	12684	85007	family	null	null	1653	Corynebacteriaceae	6/12/2015
6	22	2049	genus	null	null	1654	Actinomyces	6/12/2015
2	7	1654	species	null	null	1660	Actinomyces odontolyticus	6/12/2015
3461	12636	1653	genus	null	null	1716	Corynebacterium	6/12/2015
7	26	1716	species	null	null	1717	Corynebacterium diphtheriae	6/12/2015
180	657	186806	genus	null	null	1730	Eubacterium	6/12/2015
6495	23713	201174	class	null	null	1760	Actinobacteria	6/12/2015
2	7	85007	family	null	null	1762	Mycobacteriaceae	6/12/2015
2	7	1762	genus	null	null	1763	Mycobacterium	6/12/2015
3530	12888	85003	order	null	null	2037	Actinomycetales	6/12/2015
52	190	85005	family	null	null	2049	Actinomycetaceae	6/12/2015
2	7	85010	family	null	null	2070	Pseudonocardiaceae	6/12/2015
44954	164126	2	no_rank	null	null	2323	unclassified Bacteria	6/12/2015
150	548	186807	genus	null	null	2740	Peptococcus	6/12/2015
622	2271	1	no_rank	null	null	12908	unclassified sequences	6/12/2015
600	2191	186803	genus	null	null	28050	Lachnospira	6/12/2015
6	22	816	species	null	null	28116	Bacteroides ovatus	6/12/2015
4401	16068	239759	species	null	null	28117	Alistipes putredinis	6/12/2015
887	3238	283168	species	null	null	28118	Odoribacter splanchnicus	6/12/2015
22	80	838	species	null	null	28128	Prevotella corporis	6/12/2015
26	95	413496	species	null	null	28141	Cronobacter sakazakii	6/12/2015
